Date,Model,Branch,Units_Sold,Sales_Person,Body_Builder,Financier,Chassis_Number,Order_Date,Invoice_Date,Buying_Price,Selling_Price,Customer_Name,Customer_Location,Payment_Mode
2021-12-23,Isuzu FVR,Nairobi,2,Katie Romero,Labh Singh,KCB,JABC882XYZOJ,2021-03-06,2010-01-30,2261674,4738671,Paul Randolph,East Scottton,Cash
2008-06-08,Isuzu D-MAX,Eldoret,4,Nicolas Grant,TransAfrica,Equity Bank,JABC445XYZWF,2022-07-12,2008-06-08,3954702,3955105,Whitney Ball,East Jessicahaven,Credit
2004-10-07,Isuzu FSR,Mombasa,3,Louis Smith,Rifter,KCB,JABC564XYZxP,2004-02-08,2000-06-17,2771136,6323479,Peter Smith,Donaldshire,Credit
2025-08-29,Isuzu D-MAX,Nairobi,3,Karen Krause,Rifter,KCB,JABC886XYZXH,2004-08-28,2013-09-07,3777850,4991965,Shane Reed,Lake Tinaview,Cash
2010-04-05,Isuzu NQR Xtra,Chuka,5,Kathleen Pacheco,Rifter,NCBA,JABC388XYZwr,2000-10-27,2008-07-21,4552192,2635797,Charles Vaughn,East Jennifer,Credit
2011-10-10,Isuzu FVR,Eldoret,2,Carol Waters,TransAfrica,Family Bank,JABC532XYZRF,2011-12-19,2010-10-19,2758201,2709699,Samuel Diaz,West Sheilatown,Credit
2011-10-31,Isuzu NQR Xtra,Mombasa,2,Joshua Williams,General Body Works,Co-op Bank,JABC882XYZXu,2025-01-03,2004-12-20,5898764,4957856,Arthur Le,Maryville,Cash
2000-02-07,Isuzu D-MAX,Mombasa,5,Derek Reed,General Body Works,Equity Bank,JABC664XYZxk,2015-12-10,2011-08-07,2703645,3217368,Courtney Johnson,Bergermouth,Cash
2014-02-23,Isuzu D-MAX,Nairobi,4,Louis Smith,Labh Singh,Equity Bank,JABC234XYZDe,2021-07-25,2004-11-17,4550552,3352224,Brooke Madden,Lake Caitlynchester,Credit
2001-05-04,Isuzu NQR Xtra,Eldoret,1,Brittany Rogers,Krystal,NCBA,JABC526XYZsU,2023-09-13,2020-07-31,5606940,4241233,Wendy Cohen,Maynardmouth,Credit
2005-05-29,Isuzu D-MAX,Meru,4,Joshua Williams,Labh Singh,Co-op Bank,JABC243XYZmB,2007-11-02,2011-05-04,4971067,5255475,Sean Cross,Port Amber,Credit
2018-07-31,Isuzu FRR90,Nairobi,2,Katie Romero,Labh Singh,KCB,JABC656XYZCg,2012-09-23,2004-02-07,2388388,2794957,Keith Davis,Elizabethmouth,Credit
2012-05-09,Isuzu FRR90,Meru,5,Steven Dixon,TransAfrica,Equity Bank,JABC037XYZXV,2006-10-03,2014-07-28,3806423,5394935,Karl Johnson,Kempside,Cash
2016-01-02,Isuzu FSR,Nairobi,1,Stacey Bass,Rifter,NCBA,JABC753XYZaO,2001-08-06,2024-02-29,4765013,5496297,Kristen Douglas,Floresville,Cash
2009-11-23,Isuzu FRR90,Meru,1,Michael Miller,Rifter,Family Bank,JABC008XYZsn,2015-11-24,2009-01-01,4707260,5705677,Evan Warren,South Kennethside,Cash
2021-09-26,Isuzu FRR90,Meru,1,Stephen Lewis,Krystal,Co-op Bank,JABC265XYZjD,2009-07-25,2017-06-10,4551733,4664533,Todd Kelley,Haysmouth,Cash
2001-01-17,Isuzu D-MAX,Chuka,3,Nicolas Grant,Labh Singh,Family Bank,JABC950XYZZO,2022-09-25,2014-05-22,4524714,3403282,Alexandria Morgan,Davidstad,Cash
2021-02-13,Isuzu FSR,Chuka,2,Katie Romero,Rifter,KCB,JABC295XYZLq,2021-07-05,2000-07-11,3294416,4485196,Christopher Trevino,Lake Victorberg,Credit
2007-06-02,Isuzu NQR Xtra,Meru,1,Benjamin Patterson,Krystal,NCBA,JABC021XYZlt,2006-12-01,2017-03-21,2910657,5260592,William Merritt,Port Amandamouth,Credit
2003-04-04,Isuzu FVR,Chuka,1,Michael Miller,Rifter,Family Bank,JABC989XYZkM,2003-04-28,2010-11-29,2995791,4720943,Paul Logan,Rayside,Cash
2002-10-22,Isuzu NQR Xtra,Meru,3,Dana Ortiz,General Body Works,Equity Bank,JABC674XYZri,2017-09-10,2011-11-20,3419600,4959622,Stephanie Anderson,Thompsonville,Credit
2017-05-09,Isuzu FSR,Chuka,3,Shannon Thompson,Labh Singh,NCBA,JABC349XYZDB,2017-04-16,2008-06-22,3370092,6209493,Reginald Newton,New Molly,Credit
2021-12-17,Isuzu NQR Xtra,Chuka,2,Karen Krause,TransAfrica,NCBA,JABC701XYZCq,2007-05-25,2017-09-25,4831902,2553024,Misty Lucas,Chelseashire,Credit
2021-01-20,Isuzu D-MAX,Chuka,4,Stephen Lewis,Rifter,Equity Bank,JABC969XYZBF,2017-03-25,2000-10-06,4158714,5948281,Jeffery Nelson,Lake Danielle,Credit
2010-08-24,Isuzu D-MAX,Mombasa,1,Benjamin Patterson,General Body Works,NCBA,JABC869XYZLp,2024-03-02,2005-09-28,2074723,4538842,Ronald Hubbard,South Ronald,Credit
2016-02-16,Isuzu NQR Xtra,Nairobi,1,Shannon Thompson,TransAfrica,Co-op Bank,JABC362XYZFI,2005-11-29,2023-07-09,3716534,3893196,Shawn Jones,Waltonland,Credit
2007-01-24,Isuzu FRR90,Chuka,4,Karen Krause,Rifter,Co-op Bank,JABC295XYZUu,2010-11-10,2013-03-22,2150594,3220892,Steven Wilson,Schultzport,Cash
2001-11-02,Isuzu NQR Xtra,Chuka,4,Carol Waters,Rifter,Family Bank,JABC444XYZLp,2002-02-18,2003-11-05,4237699,5855214,Michael Gibson,Youngborough,Cash
2018-07-08,Isuzu FRR90,Mombasa,2,Karen Krause,Labh Singh,NCBA,JABC410XYZrX,2015-09-26,2020-07-04,5385151,2877332,Jason Snyder,Melissaville,Credit
2012-08-13,Isuzu FRR90,Eldoret,5,Brittany Rogers,General Body Works,Equity Bank,JABC298XYZxF,2004-08-21,2011-05-27,3308064,2578947,Linda Hinton,Timothystad,Cash
2025-02-18,Isuzu NQR Xtra,Mombasa,4,Joshua Williams,TransAfrica,NCBA,JABC804XYZEs,2020-03-21,2007-12-17,4410912,5907765,Amy Castillo,Davisland,Credit
2012-04-09,Isuzu FVR,Nairobi,4,Louis Smith,Rifter,Family Bank,JABC134XYZIM,2022-05-29,2007-07-28,2142617,5182920,Leslie Scott,Port Benjaminton,Credit
2020-03-30,Isuzu FRR90,Nairobi,5,Stacey Bass,Krystal,NCBA,JABC503XYZTm,2004-10-03,2023-05-09,3756608,5737619,Joseph Edwards,South Kyleshire,Cash
2008-10-23,Isuzu D-MAX,Nairobi,1,Kristy Moran,Krystal,Equity Bank,JABC086XYZTl,2020-04-27,2006-05-28,5101004,3840389,Aaron Ramsey,North Michael,Cash
2011-05-13,Isuzu FRR90,Nairobi,1,Louis Smith,Labh Singh,Equity Bank,JABC044XYZPl,2005-05-27,2017-11-27,2416460,4004819,Lori Mcmahon,New Adam,Credit
2023-09-20,Isuzu NQR Xtra,Nairobi,5,Nicolas Grant,Rifter,KCB,JABC969XYZEw,2002-01-28,2000-08-25,4150963,4863297,Amy Fuller,North Aaronborough,Cash
2009-07-15,Isuzu FRR90,Chuka,5,Derek Reed,TransAfrica,Equity Bank,JABC406XYZUu,2019-07-09,2014-01-08,4791671,4561892,Nicholas Combs,Rosalesmouth,Credit
2000-03-07,Isuzu FVR,Meru,5,Karen Krause,General Body Works,Equity Bank,JABC682XYZeo,2012-01-25,2020-08-18,5042244,6232592,John Waller,Williamsborough,Credit
2021-05-14,Isuzu FSR,Meru,2,Louis Smith,Labh Singh,Equity Bank,JABC227XYZUt,2004-09-18,2016-10-04,5765444,4211909,Melissa Simmons,Judithside,Credit
2012-12-12,Isuzu NQR Xtra,Nairobi,4,Shannon Thompson,TransAfrica,Equity Bank,JABC340XYZzN,2019-06-19,2025-02-12,5268896,4161127,Maria Wallace,Garciamouth,Credit
2001-06-11,Isuzu FVR,Chuka,2,Karen Krause,Krystal,KCB,JABC274XYZFw,2013-02-27,2018-01-19,5993611,3848416,Joseph Madden,Hamptonton,Credit
2007-11-28,Isuzu FRR90,Meru,3,Kathleen Pacheco,TransAfrica,NCBA,JABC825XYZlo,2018-08-03,2004-11-07,2549391,2927479,Russell Chapman,West Cameron,Credit
2002-06-11,Isuzu FRR90,Mombasa,1,Karen Krause,Labh Singh,Family Bank,JABC517XYZuG,2006-01-19,2004-11-21,5212161,5335142,Rodney French,Guerraport,Credit
